Region/Country/Area,,Year,Series,Value,Footnotes
112,Belarus,2005,Land area (thousand hectares),"20,283",
112,Belarus,2005,Arable land (thousand hectares),"5,542",
112,Belarus,2005,Permanent crops (thousand hectares),118,
112,Belarus,2005,Forest cover (thousand hectares),"8,452",Estimate.
112,Belarus,2005,Arable land (% of total land area),27.3,
112,Belarus,2005,Permanent crops (% of total land area),0.6,
112,Belarus,2005,Forest cover (% of total land area),41.7,Estimate.
112,Belarus,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),75.8,
112,Belarus,2010,Land area (thousand hectares),"20,290",
112,Belarus,2010,Arable land (thousand hectares),"5,535",
112,Belarus,2010,Permanent crops (thousand hectares),122,
112,Belarus,2010,Forest cover (thousand hectares),"8,630",
112,Belarus,2010,Arable land (% of total land area),27.3,
112,Belarus,2010,Permanent crops (% of total land area),0.6,
112,Belarus,2010,Forest cover (% of total land area),42.5,
112,Belarus,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),75.8,
112,Belarus,2019,Land area (thousand hectares),"20,297",
112,Belarus,2019,Arable land (thousand hectares),"5,713",
112,Belarus,2019,Permanent crops (thousand hectares),107,
112,Belarus,2019,Forest cover (thousand hectares),"8,753",
112,Belarus,2019,Arable land (% of total land area),28.1,
112,Belarus,2019,Permanent crops (% of total land area),0.5,
112,Belarus,2019,Forest cover (% of total land area),43.1,
112,Belarus,2019,Important sites for terrestrial biodiversity protected (% of total sites protected),87.88,
112,Belarus,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),87.88,
56,Belgium,2005,Land area (thousand hectares),"3,028",
56,Belgium,2005,Arable land (thousand hectares),843,
56,Belgium,2005,Permanent crops (thousand hectares),21,
56,Belgium,2005,Forest cover (thousand hectares),679,Estimate.
56,Belgium,2005,Arable land (% of total land area),27.8,
56,Belgium,2005,Permanent crops (% of total land area),0.7,
56,Belgium,2005,Forest cover (% of total land area),22.4,Estimate.
56,Belgium,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),72.21,
56,Belgium,2010,Land area (thousand hectares),"3,028",
56,Belgium,2010,Arable land (thousand hectares),834,
56,Belgium,2010,Permanent crops (thousand hectares),22,
56,Belgium,2010,Forest cover (thousand hectares),690,
56,Belgium,2010,Arable land (% of total land area),27.5,
56,Belgium,2010,Permanent crops (% of total land area),0.7,
56,Belgium,2010,Forest cover (% of total land area),22.8,
56,Belgium,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),72.84,
56,Belgium,2019,Land area (thousand hectares),"3,028",Estimate.
56,Belgium,2019,Arable land (thousand hectares),857,
56,Belgium,2019,Permanent crops (thousand hectares),24,
56,Belgium,2019,Forest cover (thousand hectares),689,
56,Belgium,2019,Arable land (% of total land area),28.3,Estimate.
56,Belgium,2019,Permanent crops (% of total land area),0.8,Estimate.
56,Belgium,2019,Forest cover (% of total land area),22.8,Estimate.
56,Belgium,2019,Important sites for terrestrial biodiversity protected (% of total sites protected),75.88,
56,Belgium,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),75.88,
84,Belize,2005,Land area (thousand hectares),"2,281",
84,Belize,2005,Arable land (thousand hectares),70,Estimate.
84,Belize,2005,Permanent crops (thousand hectares),32,Estimate.
84,Belize,2005,Forest cover (thousand hectares),"1,425",Estimate.
84,Belize,2005,Arable land (% of total land area),3.1,Estimate.
84,Belize,2005,Permanent crops (% of total land area),1.4,Estimate.
84,Belize,2005,Forest cover (% of total land area),62.5,Estimate.
84,Belize,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),41.07,
84,Belize,2010,Land area (thousand hectares),"2,281",Estimate.
84,Belize,2010,Arable land (thousand hectares),75,Estimate.
84,Belize,2010,Permanent crops (thousand hectares),32,Estimate.
84,Belize,2010,Forest cover (thousand hectares),"1,391",
84,Belize,2010,Arable land (% of total land area),3.3,Estimate.
84,Belize,2010,Permanent crops (% of total land area),1.4,Estimate.
84,Belize,2010,Forest cover (% of total land area),61,Estimate.
84,Belize,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),41.09,
84,Belize,2019,Land area (thousand hectares),"2,281",Estimate.
84,Belize,2019,Arable land (thousand hectares),90,Estimate.
84,Belize,2019,Permanent crops (thousand hectares),32,Estimate.
84,Belize,2019,Forest cover (thousand hectares),"1,288",
84,Belize,2019,Arable land (% of total land area),3.9,Estimate.
84,Belize,2019,Permanent crops (% of total land area),1.4,Estimate.
84,Belize,2019,Forest cover (% of total land area),56.5,Estimate.
84,Belize,2019,Important sites for terrestrial biodiversity protected (% of total sites protected),43.26,
84,Belize,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),43.26,
204,Benin,2005,Land area (thousand hectares),"11,276",Estimate.
204,Benin,2005,Arable land (thousand hectares),"2,654",Estimate.
204,Benin,2005,Permanent crops (thousand hectares),280,Estimate.
204,Benin,2005,Forest cover (thousand hectares),"3,885",Estimate.
204,Benin,2005,Arable land (% of total land area),23.5,Estimate.
204,Benin,2005,Permanent crops (% of total land area),2.5,Estimate.
204,Benin,2005,Forest cover (% of total land area),34.5,Estimate.
204,Benin,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),66.66,
204,Benin,2010,Land area (thousand hectares),"11,276",Estimate.
204,Benin,2010,Arable land (thousand hectares),"2,500",Estimate.
204,Benin,2010,Permanent crops (thousand hectares),600,Estimate.
204,Benin,2010,Forest cover (thousand hectares),"3,635",
204,Benin,2010,Arable land (% of total land area),22.2,Estimate.
204,Benin,2010,Permanent crops (% of total land area),5.3,Estimate.
204,Benin,2010,Forest cover (% of total land area),32.2,Estimate.
204,Benin,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),66.66,
204,Benin,2019,Land area (thousand hectares),"11,276",Estimate.
204,Benin,2019,Arable land (thousand hectares),"2,800",Estimate.
204,Benin,2019,Permanent crops (thousand hectares),600,Estimate.
204,Benin,2019,Forest cover (thousand hectares),"3,185",
204,Benin,2019,Arable land (% of total land area),24.8,Estimate.
204,Benin,2019,Permanent crops (% of total land area),5.3,Estimate.
204,Benin,2019,Forest cover (% of total land area),28.2,Estimate.
204,Benin,2019,Important sites for terrestrial biodiversity protected (% of total sites protected),66.66,
204,Benin,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),66.66,
60,Bermuda,2005,Land area (thousand hectares),5,
60,Bermuda,2005,Arable land (thousand hectares),0,
60,Bermuda,2005,Forest cover (thousand hectares),1,Estimate.
60,Bermuda,2005,Arable land (% of total land area),7.4,
60,Bermuda,2005,Forest cover (% of total land area),18.5,Estimate.
60,Bermuda,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),51.98,
60,Bermuda,2010,Land area (thousand hectares),5,
60,Bermuda,2010,Arable land (thousand hectares),0,
60,Bermuda,2010,Forest cover (thousand hectares),1,Estimate.
60,Bermuda,2010,Arable land (% of total land area),5.6,
60,Bermuda,2010,Forest cover (% of total land area),18.5,Estimate.
60,Bermuda,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),51.98,
60,Bermuda,2019,Land area (thousand hectares),5,
60,Bermuda,2019,Arable land (thousand hectares),0,Estimate.
60,Bermuda,2019,Forest cover (thousand hectares),1,Estimate.
60,Bermuda,2019,Arable land (% of total land area),5.6,Estimate.
60,Bermuda,2019,Forest cover (% of total land area),18.5,Estimate.
60,Bermuda,2019,Important sites for terrestrial biodiversity protected (% of total sites protected),51.98,
60,Bermuda,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),51.98,
64,Bhutan,2005,Land area (thousand hectares),"3,812",
64,Bhutan,2005,Arable land (thousand hectares),167,Estimate.
64,Bhutan,2005,Permanent crops (thousand hectares),19,Estimate.
64,Bhutan,2005,Forest cover (thousand hectares),"2,656",Estimate.
64,Bhutan,2005,Arable land (% of total land area),4.4,Estimate.
64,Bhutan,2005,Permanent crops (% of total land area),0.5,Estimate.
64,Bhutan,2005,Forest cover (% of total land area),69.7,Estimate.
64,Bhutan,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),42.59,
64,Bhutan,2010,Land area (thousand hectares),"3,812",
64,Bhutan,2010,Arable land (thousand hectares),101,
64,Bhutan,2010,Permanent crops (thousand hectares),12,
64,Bhutan,2010,Forest cover (thousand hectares),"2,705",
64,Bhutan,2010,Arable land (% of total land area),2.6,
64,Bhutan,2010,Permanent crops (% of total land area),0.3,
64,Bhutan,2010,Forest cover (% of total land area),71,
64,Bhutan,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),45.41,
64,Bhutan,2019,Land area (thousand hectares),"3,814",
64,Bhutan,2019,Arable land (thousand hectares),94,Estimate.
64,Bhutan,2019,Permanent crops (thousand hectares),6,
64,Bhutan,2019,Forest cover (thousand hectares),"2,723",
64,Bhutan,2019,Arable land (% of total land area),2.5,Estimate.
64,Bhutan,2019,Permanent crops (% of total land area),0.2,
64,Bhutan,2019,Forest cover (% of total land area),71.4,
64,Bhutan,2019,Important sites for terrestrial biodiversity protected (% of total sites protected),46.97,
64,Bhutan,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),46.97,
68,Bolivia (Plurin. State of),2005,Land area (thousand hectares),"108,330",
68,Bolivia (Plurin. State of),2005,Arable land (thousand hectares),"3,806",
68,Bolivia (Plurin. State of),2005,Permanent crops (thousand hectares),199,
68,Bolivia (Plurin. State of),2005,Forest cover (thousand hectares),"54,094",Estimate.
68,Bolivia (Plurin. State of),2005,Arable land (% of total land area),3.5,
68,Bolivia (Plurin. State of),2005,Permanent crops (% of total land area),0.2,
68,Bolivia (Plurin. State of),2005,Forest cover (% of total land area),49.9,Estimate.
68,Bolivia (Plurin. State of),2005,Important sites for terrestrial biodiversity protected (% of total sites protected),43.89,
68,Bolivia (Plurin. State of),2010,Land area (thousand hectares),"108,330",Estimate.
68,Bolivia (Plurin. State of),2010,Arable land (thousand hectares),"4,297",Estimate.
68,Bolivia (Plurin. State of),2010,Permanent crops (thousand hectares),219,Estimate.
68,Bolivia (Plurin. State of),2010,Forest cover (thousand hectares),"53,086",
68,Bolivia (Plurin. State of),2010,Arable land (% of total land area),4,Estimate.
68,Bolivia (Plurin. State of),2010,Permanent crops (% of total land area),0.2,Estimate.
68,Bolivia (Plurin. State of),2010,Forest cover (% of total land area),49,Estimate.
68,Bolivia (Plurin. State of),2010,Important sites for terrestrial biodiversity protected (% of total sites protected),45.45,
68,Bolivia (Plurin. State of),2019,Land area (thousand hectares),"108,330",Estimate.
68,Bolivia (Plurin. State of),2019,Arable land (thousand hectares),"4,540",Estimate.
68,Bolivia (Plurin. State of),2019,Permanent crops (thousand hectares),247,Estimate.
68,Bolivia (Plurin. State of),2019,Forest cover (thousand hectares),"51,034",
68,Bolivia (Plurin. State of),2019,Arable land (% of total land area),4.2,Estimate.
68,Bolivia (Plurin. State of),2019,Permanent crops (% of total land area),0.2,Estimate.
68,Bolivia (Plurin. State of),2019,Forest cover (% of total land area),47.1,Estimate.
68,Bolivia (Plurin. State of),2019,Important sites for terrestrial biodiversity protected (% of total sites protected),45.45,
68,Bolivia (Plurin. State of),2021,Important sites for terrestrial biodiversity protected (% of total sites protected),45.45,
535,"Bonaire, St. Eustatius & Saba",2005,Important sites for terrestrial biodiversity protected (% of total sites protected),39.27,
535,"Bonaire, St. Eustatius & Saba",2010,Important sites for terrestrial biodiversity protected (% of total sites protected),39.27,
535,"Bonaire, St. Eustatius & Saba",2019,Land area (thousand hectares),32,
535,"Bonaire, St. Eustatius & Saba",2019,Forest cover (thousand hectares),2,Estimate.
535,"Bonaire, St. Eustatius & Saba",2019,Forest cover (% of total land area),5.9,Estimate.
535,"Bonaire, St. Eustatius & Saba",2019,Important sites for terrestrial biodiversity protected (% of total sites protected),62.47,
535,"Bonaire, St. Eustatius & Saba",2021,Important sites for terrestrial biodiversity protected (% of total sites protected),62.47,
70,Bosnia and Herzegovina,2005,Land area (thousand hectares),"5,120",
70,Bosnia and Herzegovina,2005,Arable land (thousand hectares),"1,025",
70,Bosnia and Herzegovina,2005,Permanent crops (thousand hectares),95,
70,Bosnia and Herzegovina,2005,Forest cover (thousand hectares),"2,107",Estimate.
70,Bosnia and Herzegovina,2005,Arable land (% of total land area),20,
70,Bosnia and Herzegovina,2005,Permanent crops (% of total land area),1.9,
70,Bosnia and Herzegovina,2005,Forest cover (% of total land area),41.2,Estimate.
70,Bosnia and Herzegovina,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),10.69,
70,Bosnia and Herzegovina,2010,Land area (thousand hectares),"5,120",
70,Bosnia and Herzegovina,2010,Arable land (thousand hectares),"1,004",
70,Bosnia and Herzegovina,2010,Permanent crops (thousand hectares),105,
70,Bosnia and Herzegovina,2010,Forest cover (thousand hectares),"2,103",Estimate.
70,Bosnia and Herzegovina,2010,Arable land (% of total land area),19.6,
70,Bosnia and Herzegovina,2010,Permanent crops (% of total land area),2.1,
70,Bosnia and Herzegovina,2010,Forest cover (% of total land area),41.1,Estimate.
70,Bosnia and Herzegovina,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),28.87,
70,Bosnia and Herzegovina,2019,Land area (thousand hectares),"5,120",
70,Bosnia and Herzegovina,2019,Arable land (thousand hectares),"1,015",
70,Bosnia and Herzegovina,2019,Permanent crops (thousand hectares),106,
70,Bosnia and Herzegovina,2019,Forest cover (thousand hectares),"2,188",Estimate.
70,Bosnia and Herzegovina,2019,Arable land (% of total land area),19.8,
70,Bosnia and Herzegovina,2019,Permanent crops (% of total land area),2.1,
70,Bosnia and Herzegovina,2019,Forest cover (% of total land area),42.7,Estimate.
70,Bosnia and Herzegovina,2019,Important sites for terrestrial biodiversity protected (% of total sites protected),28.99,
70,Bosnia and Herzegovina,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),28.99,
72,Botswana,2005,Land area (thousand hectares),"56,673",Estimate.
72,Botswana,2005,Arable land (thousand hectares),240,Estimate.
72,Botswana,2005,Permanent crops (thousand hectares),2,
72,Botswana,2005,Forest cover (thousand hectares),"17,029",Estimate.
72,Botswana,2005,Arable land (% of total land area),0.4,Estimate.
72,Botswana,2005,Permanent crops (% of total land area),0,Estimate.
72,Botswana,2005,Forest cover (% of total land area),30,Estimate.
72,Botswana,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),51.09,
72,Botswana,2010,Land area (thousand hectares),"56,673",Estimate.
72,Botswana,2010,Arable land (thousand hectares),259,
72,Botswana,2010,Permanent crops (thousand hectares),2,Estimate.
72,Botswana,2010,Forest cover (thousand hectares),"16,438",
72,Botswana,2010,Arable land (% of total land area),0.5,Estimate.
72,Botswana,2010,Permanent crops (% of total land area),0,Estimate.
72,Botswana,2010,Forest cover (% of total land area),29,Estimate.
72,Botswana,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),51.09,
72,Botswana,2019,Land area (thousand hectares),"56,673",Estimate.
72,Botswana,2019,Arable land (thousand hectares),260,
72,Botswana,2019,Permanent crops (thousand hectares),2,Estimate.
72,Botswana,2019,Forest cover (thousand hectares),"15,373",
72,Botswana,2019,Arable land (% of total land area),0.5,Estimate.
72,Botswana,2019,Permanent crops (% of total land area),0,Estimate.
72,Botswana,2019,Forest cover (% of total land area),27.1,Estimate.
72,Botswana,2019,Important sites for terrestrial biodiversity protected (% of total sites protected),51.09,
72,Botswana,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),51.09,
76,Brazil,2005,Land area (thousand hectares),"835,814",Estimate.
76,Brazil,2005,Arable land (thousand hectares),"48,333",Estimate.
76,Brazil,2005,Permanent crops (thousand hectares),"11,302",Estimate.
76,Brazil,2005,Forest cover (thousand hectares),"531,335",Estimate.
76,Brazil,2005,Arable land (% of total land area),5.8,Estimate.
76,Brazil,2005,Permanent crops (% of total land area),1.4,Estimate.
76,Brazil,2005,Forest cover (% of total land area),63.6,Estimate.
76,Brazil,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),37.39,
76,Brazil,2010,Land area (thousand hectares),"835,814",Estimate.
76,Brazil,2010,Arable land (thousand hectares),"51,405",Estimate.
76,Brazil,2010,Permanent crops (thousand hectares),"10,252",Estimate.
76,Brazil,2010,Forest cover (thousand hectares),"511,581",
76,Brazil,2010,Arable land (% of total land area),6.2,Estimate.
76,Brazil,2010,Permanent crops (% of total land area),1.2,Estimate.
76,Brazil,2010,Forest cover (% of total land area),61.2,Estimate.
76,Brazil,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),42,
76,Brazil,2019,Land area (thousand hectares),"835,814",Estimate.
76,Brazil,2019,Arable land (thousand hectares),"55,762",Estimate.
76,Brazil,2019,Permanent crops (thousand hectares),"7,756",Estimate.
76,Brazil,2019,Forest cover (thousand hectares),"497,799",
76,Brazil,2019,Arable land (% of total land area),6.7,Estimate.
76,Brazil,2019,Permanent crops (% of total land area),0.9,Estimate.
76,Brazil,2019,Forest cover (% of total land area),59.6,Estimate.
76,Brazil,2019,Important sites for terrestrial biodiversity protected (% of total sites protected),43.71,
76,Brazil,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),43.71,
86,British Indian Ocean Terr.,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),99.97,
86,British Indian Ocean Terr.,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),99.97,
86,British Indian Ocean Terr.,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),99.97,
92,British Virgin Islands,2005,Land area (thousand hectares),15,
92,British Virgin Islands,2005,Arable land (thousand hectares),1,Estimate.
92,British Virgin Islands,2005,Permanent crops (thousand hectares),1,Estimate.
92,British Virgin Islands,2005,Forest cover (thousand hectares),4,Estimate.
92,British Virgin Islands,2005,Arable land (% of total land area),6.7,Estimate.
92,British Virgin Islands,2005,Permanent crops (% of total land area),6.7,Estimate.
92,British Virgin Islands,2005,Forest cover (% of total land area),24.4,Estimate.
92,British Virgin Islands,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),7.37,
92,British Virgin Islands,2010,Land area (thousand hectares),15,
92,British Virgin Islands,2010,Arable land (thousand hectares),1,Estimate.
92,British Virgin Islands,2010,Permanent crops (thousand hectares),1,Estimate.
92,British Virgin Islands,2010,Forest cover (thousand hectares),4,Estimate.
92,British Virgin Islands,2010,Arable land (% of total land area),6.7,Estimate.
92,British Virgin Islands,2010,Permanent crops (% of total land area),6.7,Estimate.
92,British Virgin Islands,2010,Forest cover (% of total land area),24.3,Estimate.
92,British Virgin Islands,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),7.37,
92,British Virgin Islands,2019,Land area (thousand hectares),15,
92,British Virgin Islands,2019,Arable land (thousand hectares),1,Estimate.
92,British Virgin Islands,2019,Permanent crops (thousand hectares),1,Estimate.
92,British Virgin Islands,2019,Forest cover (thousand hectares),4,Estimate.
92,British Virgin Islands,2019,Arable land (% of total land area),6.7,Estimate.
92,British Virgin Islands,2019,Permanent crops (% of total land area),6.7,Estimate.
92,British Virgin Islands,2019,Forest cover (% of total land area),24.1,Estimate.
92,British Virgin Islands,2019,Important sites for terrestrial biodiversity protected (% of total sites protected),7.37,
92,British Virgin Islands,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),7.37,
96,Brunei Darussalam,2005,Land area (thousand hectares),527,
96,Brunei Darussalam,2005,Arable land (thousand hectares),2,Estimate.
96,Brunei Darussalam,2005,Permanent crops (thousand hectares),5,Estimate.
96,Brunei Darussalam,2005,Forest cover (thousand hectares),389,Estimate.
96,Brunei Darussalam,2005,Arable land (% of total land area),0.4,Estimate.
96,Brunei Darussalam,2005,Permanent crops (% of total land area),0.9,Estimate.
96,Brunei Darussalam,2005,Forest cover (% of total land area),73.7,Estimate.
96,Brunei Darussalam,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),41.66,
96,Brunei Darussalam,2010,Land area (thousand hectares),527,Estimate.
96,Brunei Darussalam,2010,Arable land (thousand hectares),4,Estimate.
96,Brunei Darussalam,2010,Permanent crops (thousand hectares),6,Estimate.
96,Brunei Darussalam,2010,Forest cover (thousand hectares),380,
96,Brunei Darussalam,2010,Arable land (% of total land area),0.8,Estimate.
96,Brunei Darussalam,2010,Permanent crops (% of total land area),1.1,Estimate.
96,Brunei Darussalam,2010,Forest cover (% of total land area),72.1,Estimate.
96,Brunei Darussalam,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),41.66,
96,Brunei Darussalam,2019,Land area (thousand hectares),527,Estimate.
96,Brunei Darussalam,2019,Arable land (thousand hectares),4,Estimate.
96,Brunei Darussalam,2019,Permanent crops (thousand hectares),6,Estimate.
96,Brunei Darussalam,2019,Forest cover (thousand hectares),380,
96,Brunei Darussalam,2019,Arable land (% of total land area),0.8,Estimate.
96,Brunei Darussalam,2019,Permanent crops (% of total land area),1.1,Estimate.
96,Brunei Darussalam,2019,Forest cover (% of total land area),72.1,Estimate.
96,Brunei Darussalam,2019,Important sites for terrestrial biodiversity protected (% of total sites protected),41.66,
96,Brunei Darussalam,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),41.66,
100,Bulgaria,2005,Land area (thousand hectares),"10,864",
100,Bulgaria,2005,Arable land (thousand hectares),"3,173",
100,Bulgaria,2005,Permanent crops (thousand hectares),188,
100,Bulgaria,2005,Forest cover (thousand hectares),"3,556",Estimate.
100,Bulgaria,2005,Arable land (% of total land area),29.2,
100,Bulgaria,2005,Permanent crops (% of total land area),1.7,
100,Bulgaria,2005,Forest cover (% of total land area),32.7,Estimate.
100,Bulgaria,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),27.8,
100,Bulgaria,2010,Land area (thousand hectares),"10,856",Estimate.
100,Bulgaria,2010,Arable land (thousand hectares),"3,186",
100,Bulgaria,2010,Permanent crops (thousand hectares),164,
100,Bulgaria,2010,Forest cover (thousand hectares),"3,737",
100,Bulgaria,2010,Arable land (% of total land area),29.3,Estimate.
100,Bulgaria,2010,Permanent crops (% of total land area),1.5,Estimate.
100,Bulgaria,2010,Forest cover (% of total land area),34.4,Estimate.
100,Bulgaria,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),98.32,
100,Bulgaria,2019,Land area (thousand hectares),"10,856",Estimate.
100,Bulgaria,2019,Arable land (thousand hectares),"3,476",
100,Bulgaria,2019,Permanent crops (thousand hectares),153,
100,Bulgaria,2019,Forest cover (thousand hectares),"3,880",
100,Bulgaria,2019,Arable land (% of total land area),32,Estimate.
100,Bulgaria,2019,Permanent crops (% of total land area),1.4,Estimate.
100,Bulgaria,2019,Forest cover (% of total land area),35.7,Estimate.
100,Bulgaria,2019,Important sites for terrestrial biodiversity protected (% of total sites protected),99.28,
100,Bulgaria,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),99.28,
854,Burkina Faso,2005,Land area (thousand hectares),"27,360",Estimate.
854,Burkina Faso,2005,Arable land (thousand hectares),"4,900",Estimate.
854,Burkina Faso,2005,Permanent crops (thousand hectares),70,Estimate.
854,Burkina Faso,2005,Forest cover (thousand hectares),"6,967",Estimate.
854,Burkina Faso,2005,Arable land (% of total land area),17.9,Estimate.
854,Burkina Faso,2005,Permanent crops (% of total land area),0.3,Estimate.
854,Burkina Faso,2005,Forest cover (% of total land area),25.5,Estimate.
854,Burkina Faso,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),71.02,
854,Burkina Faso,2010,Land area (thousand hectares),"27,360",Estimate.
854,Burkina Faso,2010,Arable land (thousand hectares),"6,000",Estimate.
854,Burkina Faso,2010,Permanent crops (thousand hectares),80,Estimate.
854,Burkina Faso,2010,Forest cover (thousand hectares),"6,717",
854,Burkina Faso,2010,Arable land (% of total land area),21.9,Estimate.
854,Burkina Faso,2010,Permanent crops (% of total land area),0.3,Estimate.
854,Burkina Faso,2010,Forest cover (% of total land area),24.5,Estimate.
854,Burkina Faso,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),78.8,
854,Burkina Faso,2019,Land area (thousand hectares),"27,360",Estimate.
854,Burkina Faso,2019,Arable land (thousand hectares),"6,000",Estimate.
854,Burkina Faso,2019,Permanent crops (thousand hectares),100,Estimate.
854,Burkina Faso,2019,Forest cover (thousand hectares),"6,266",
854,Burkina Faso,2019,Arable land (% of total land area),21.9,Estimate.
854,Burkina Faso,2019,Permanent crops (% of total land area),0.4,Estimate.
854,Burkina Faso,2019,Forest cover (% of total land area),22.9,Estimate.
854,Burkina Faso,2019,Important sites for terrestrial biodiversity protected (% of total sites protected),78.8,
854,Burkina Faso,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),78.8,
108,Burundi,2005,Land area (thousand hectares),"2,568",Estimate.
108,Burundi,2005,Arable land (thousand hectares),956,Estimate.
108,Burundi,2005,Permanent crops (thousand hectares),380,Estimate.
108,Burundi,2005,Forest cover (thousand hectares),194,Estimate.
108,Burundi,2005,Arable land (% of total land area),37.2,Estimate.
108,Burundi,2005,Permanent crops (% of total land area),14.8,Estimate.
108,Burundi,2005,Forest cover (% of total land area),7.6,Estimate.
108,Burundi,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),56.83,
108,Burundi,2010,Land area (thousand hectares),"2,568",Estimate.
108,Burundi,2010,Arable land (thousand hectares),950,Estimate.
108,Burundi,2010,Permanent crops (thousand hectares),400,Estimate.
108,Burundi,2010,Forest cover (thousand hectares),194,
108,Burundi,2010,Arable land (% of total land area),37,Estimate.
108,Burundi,2010,Permanent crops (% of total land area),15.6,Estimate.
108,Burundi,2010,Forest cover (% of total land area),7.6,Estimate.
108,Burundi,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),56.83,
108,Burundi,2019,Land area (thousand hectares),"2,568",Estimate.
108,Burundi,2019,Arable land (thousand hectares),"1,200",Estimate.
108,Burundi,2019,Permanent crops (thousand hectares),350,Estimate.
108,Burundi,2019,Forest cover (thousand hectares),280,
108,Burundi,2019,Arable land (% of total land area),46.7,Estimate.
108,Burundi,2019,Permanent crops (% of total land area),13.6,Estimate.
108,Burundi,2019,Forest cover (% of total land area),10.9,Estimate.
108,Burundi,2019,Important sites for terrestrial biodiversity protected (% of total sites protected),56.83,
108,Burundi,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),56.83,
132,Cabo Verde,2005,Land area (thousand hectares),403,
132,Cabo Verde,2005,Arable land (thousand hectares),48,Estimate.
132,Cabo Verde,2005,Permanent crops (thousand hectares),2,Estimate.
132,Cabo Verde,2005,Forest cover (thousand hectares),41,Estimate.
132,Cabo Verde,2005,Arable land (% of total land area),11.9,Estimate.
132,Cabo Verde,2005,Permanent crops (% of total land area),0.5,Estimate.
132,Cabo Verde,2005,Forest cover (% of total land area),10.2,Estimate.
132,Cabo Verde,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),12.03,
132,Cabo Verde,2010,Land area (thousand hectares),403,
132,Cabo Verde,2010,Arable land (thousand hectares),50,Estimate.
132,Cabo Verde,2010,Permanent crops (thousand hectares),3,Estimate.
132,Cabo Verde,2010,Forest cover (thousand hectares),43,
132,Cabo Verde,2010,Arable land (% of total land area),12.4,Estimate.
132,Cabo Verde,2010,Permanent crops (% of total land area),0.7,Estimate.
132,Cabo Verde,2010,Forest cover (% of total land area),10.6,
132,Cabo Verde,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),12.03,
132,Cabo Verde,2019,Land area (thousand hectares),403,
132,Cabo Verde,2019,Arable land (thousand hectares),50,Estimate.
132,Cabo Verde,2019,Permanent crops (thousand hectares),4,Estimate.
132,Cabo Verde,2019,Forest cover (thousand hectares),45,
132,Cabo Verde,2019,Arable land (% of total land area),12.4,Estimate.
132,Cabo Verde,2019,Permanent crops (% of total land area),1,Estimate.
132,Cabo Verde,2019,Forest cover (% of total land area),11.3,
132,Cabo Verde,2019,Important sites for terrestrial biodiversity protected (% of total sites protected),12.03,
132,Cabo Verde,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),12.03,
116,Cambodia,2005,Land area (thousand hectares),"17,652",
116,Cambodia,2005,Arable land (thousand hectares),"3,700",Estimate.
